board,decision,Input
  XOOX   ,2,"[0, 0, 1, 2, 2, 1, 0, 0, 0]"
OX O OXX ,9,"[2, 1, 0, 2, 0, 2, 1, 1, 0]"
   O   X ,5,"[0, 0, 0, 2, 0, 0, 0, 1, 0]"
     OX  ,9,"[0, 0, 0, 0, 0, 2, 1, 0, 0]"
X O XX O ,9,"[1, 0, 2, 0, 1, 1, 0, 2, 0]"
  O  O XX,1,"[0, 0, 2, 0, 0, 2, 0, 1, 1]"
X OX O  X,5,"[1, 0, 2, 1, 0, 2, 0, 0, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    OX X ,7,"[0, 0, 0, 0, 2, 1, 0, 1, 0]"
   X     ,1,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
OXX XOOOX,4,"[2, 1, 1, 0, 1, 2, 2, 2, 1]"
O  O XX  ,3,"[2, 0, 0, 2, 0, 1, 1, 0, 0]"
       X ,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
XX XO OXO,3,"[1, 1, 0, 1, 2, 0, 2, 1, 2]"
 XOOX XO ,9,"[0, 1, 2, 2, 1, 0, 1, 2, 0]"
OXX XO O ,7,"[2, 1, 1, 0, 1, 2, 0, 2, 0]"
  O  X   ,2,"[0, 0, 2, 0, 0, 1, 0, 0, 0]"
 X O  X  ,5,"[0, 1, 0, 2, 0, 0, 1, 0, 0]"
     X   ,4,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
 X       ,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
 XXOO XO ,6,"[0, 1, 1, 2, 2, 0, 1, 2, 0]"
O XOO  XX,7,"[2, 0, 1, 2, 2, 0, 0, 1, 1]"
 XO OXX  ,8,"[0, 1, 2, 0, 2, 1, 1, 0, 0]"
   O  X X,8,"[0, 0, 0, 2, 0, 0, 1, 0, 1]"
  X  OXOX,5,"[0, 0, 1, 0, 0, 2, 1, 2, 1]"
OXX   OOX,6,"[2, 1, 1, 0, 0, 0, 2, 2, 1]"
 X  O    ,9,"[0, 1, 0, 0, 2, 0, 0, 0, 0]"
XO       ,7,"[1, 2, 0, 0, 0, 0, 0, 0, 0]"
XO X X  O,8,"[1, 2, 0, 1, 0, 1, 0, 0, 2]"
    O  X ,4,"[0, 0, 0, 0, 2, 0, 0, 1, 0]"
   X  O  ,5,"[0, 0, 0, 1, 0, 0, 2, 0, 0]"
OOXX    X,7,"[2, 2, 1, 1, 0, 0, 0, 0, 1]"
   OX OX ,1,"[0, 0, 0, 2, 1, 0, 2, 1, 0]"
     XOXO,5,"[0, 0, 0, 0, 0, 1, 2, 1, 2]"
OXO   XXO,5,"[2, 1, 2, 0, 0, 0, 1, 1, 2]"
    XO   ,3,"[0, 0, 0, 0, 1, 2, 0, 0, 0]"
XOX   XO ,5,"[1, 2, 1, 0, 0, 0, 1, 2, 0]"
  X OX   ,9,"[0, 0, 1, 0, 2, 1, 0, 0, 0]"
     XOX ,1,"[0, 0, 0, 0, 0, 1, 2, 1, 0]"
OX X O  X,5,"[2, 1, 0, 1, 0, 2, 0, 0, 1]"
X OOO X X,8,"[1, 0, 2, 2, 2, 0, 1, 0, 1]"
 XOX O  X,1,"[0, 1, 2, 1, 0, 2, 0, 0, 1]"
 O      X,3,"[0, 2, 0, 0, 0, 0, 0, 0, 1]"
X X OO XO,2,"[1, 0, 1, 0, 2, 2, 0, 1, 2]"
O X   OXX,4,"[2, 0, 1, 0, 0, 0, 2, 1, 1]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OX  X    ,8,"[2, 1, 0, 0, 1, 0, 0, 0, 0]"
 XXO O  X,1,"[0, 1, 1, 2, 0, 2, 0, 0, 1]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
      X O,1,"[0, 0, 0, 0, 0, 0, 1, 0, 2]"
 OX XO X ,7,"[0, 2, 1, 0, 1, 2, 0, 1, 0]"
   XX  OO,7,"[0, 0, 0, 1, 1, 0, 0, 2, 2]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    O XOX,2,"[0, 0, 0, 0, 2, 0, 1, 2, 1]"
X O  XOOX,5,"[1, 0, 2, 0, 0, 1, 2, 2, 1]"
 X       ,3,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
XO X O XO,7,"[1, 2, 0, 1, 0, 2, 0, 1, 2]"
 X       ,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
OX  XO   ,7,"[2, 1, 0, 0, 1, 2, 0, 0, 0]"
   X O   ,7,"[0, 0, 0, 1, 0, 2, 0, 0, 0]"
 XXOO X O,1,"[0, 1, 1, 2, 2, 0, 1, 0, 2]"
XX OX  O ,6,"[1, 1, 0, 2, 1, 0, 0, 2, 0]"
OXO XXO X,4,"[2, 1, 2, 0, 1, 1, 2, 0, 1]"
 X  X O  ,8,"[0, 1, 0, 0, 1, 0, 2, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
 X      O,3,"[0, 1, 0, 0, 0, 0, 0, 0, 2]"
  X  O X ,5,"[0, 0, 1, 0, 0, 2, 0, 1, 0]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X  O  XO,3,"[0, 1, 0, 0, 2, 0, 0, 1, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O   XX O ,3,"[2, 0, 0, 0, 1, 1, 0, 2, 0]"
XO  O X X,8,"[1, 2, 0, 0, 2, 0, 1, 0, 1]"
XO  OXX  ,8,"[1, 2, 0, 0, 2, 1, 1, 0, 0]"
   XX   O,6,"[0, 0, 0, 1, 1, 0, 0, 0, 2]"
 XXO OXO ,5,"[0, 1, 1, 2, 0, 2, 1, 2, 0]"
       X ,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
 X O O XX,5,"[0, 1, 0, 2, 0, 2, 0, 1, 1]"
OXX X OOX,4,"[2, 1, 1, 0, 1, 0, 2, 2, 1]"
X  X O O ,9,"[1, 0, 0, 1, 0, 2, 0, 2, 0]"
 X O X   ,9,"[0, 1, 0, 2, 0, 1, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
O  OXOXX ,2,"[2, 0, 0, 2, 1, 2, 1, 1, 0]"
XO  OX  X,3,"[1, 2, 0, 0, 2, 1, 0, 0, 1]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    XO   ,9,"[0, 0, 0, 0, 1, 2, 0, 0, 0]"
 OOXX  XO,6,"[0, 2, 2, 1, 1, 0, 0, 1, 2]"
X    XOOX,3,"[1, 0, 0, 0, 0, 1, 2, 2, 1]"
X XOOXX O,2,"[1, 0, 1, 2, 2, 1, 1, 0, 2]"
X X  OXO ,9,"[1, 0, 1, 0, 0, 2, 1, 2, 0]"
O     X  ,3,"[2, 0, 0, 0, 0, 0, 1, 0, 0]"
  O O  XX,7,"[0, 0, 2, 0, 2, 0, 0, 1, 1]"
  OXOX X ,1,"[0, 0, 2, 1, 2, 1, 0, 1, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    OX  X,3,"[0, 0, 0, 0, 2, 1, 0, 0, 1]"
OXX  X  O,7,"[2, 1, 1, 0, 0, 1, 0, 0, 2]"
    OX OX,3,"[0, 0, 0, 0, 2, 1, 0, 2, 1]"
 XOX  XOO,6,"[0, 1, 2, 1, 0, 0, 1, 2, 2]"
 O X     ,5,"[0, 2, 0, 1, 0, 0, 0, 0, 0]"
X XX OOOX,5,"[1, 0, 1, 1, 0, 2, 2, 2, 1]"
 OOXX O X,1,"[0, 2, 2, 1, 1, 0, 2, 0, 1]"
 O   OX X,3,"[0, 2, 0, 0, 0, 2, 1, 0, 1]"
X X  X OO,2,"[1, 0, 1, 0, 0, 1, 0, 2, 2]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
  O XXO X,8,"[0, 0, 2, 0, 1, 1, 2, 0, 1]"
OOX O  XX,4,"[2, 2, 1, 0, 2, 0, 0, 1, 1]"
  OX   XO,5,"[0, 0, 2, 1, 0, 0, 0, 1, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
   O    X,7,"[0, 0, 0, 2, 0, 0, 0, 0, 1]"
 OX   X O,4,"[0, 2, 1, 0, 0, 0, 1, 0, 2]"
 X       ,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
  X   O  ,1,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
XXOXX O O,8,"[1, 1, 2, 1, 1, 0, 2, 0, 2]"
OXX  XOO ,9,"[2, 1, 1, 0, 0, 1, 2, 2, 0]"
XXO XXO O,8,"[1, 1, 2, 0, 1, 1, 2, 0, 2]"
   OXO X ,9,"[0, 0, 0, 2, 1, 2, 0, 1, 0]"
OOX X    ,9,"[2, 2, 1, 0, 1, 0, 0, 0, 0]"
     O  X,5,"[0, 0, 0, 0, 0, 2, 0, 0, 1]"
X O O X  ,9,"[1, 0, 2, 0, 2, 0, 1, 0, 0]"
    X    ,7,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
 XOXOX O ,7,"[0, 1, 2, 1, 2, 1, 0, 2, 0]"
 O  XX O ,9,"[0, 2, 0, 0, 1, 1, 0, 2, 0]"
XOOXOO XX,7,"[1, 2, 2, 1, 2, 2, 0, 1, 1]"
 XOO XX O,1,"[0, 1, 2, 2, 0, 1, 1, 0, 2]"
   X    O,7,"[0, 0, 0, 1, 0, 0, 0, 0, 2]"
X OXXO   ,9,"[1, 0, 2, 1, 1, 2, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXXO O XX,5,"[2, 1, 1, 2, 0, 2, 0, 1, 1]"
X   X O  ,9,"[1, 0, 0, 0, 1, 0, 2, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXOXOXX  ,9,"[2, 1, 2, 1, 2, 1, 1, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XOOX   XO,7,"[1, 2, 2, 1, 0, 0, 0, 1, 2]"
 OX  X   ,5,"[0, 2, 1, 0, 0, 1, 0, 0, 0]"
XOOOOXXX ,9,"[1, 2, 2, 2, 2, 1, 1, 1, 0]"
O  OXXXO ,3,"[2, 0, 0, 2, 1, 1, 1, 2, 0]"
XX  OOX O,3,"[1, 1, 0, 0, 2, 2, 1, 0, 2]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X  OO XX ,6,"[1, 0, 0, 2, 2, 0, 1, 1, 0]"
 O X OXXO,1,"[0, 2, 0, 1, 0, 2, 1, 1, 2]"
   O OX X,5,"[0, 0, 0, 2, 0, 2, 1, 0, 1]"
XOO XXX O,4,"[1, 2, 2, 0, 1, 1, 1, 0, 2]"
XOO  XXXO,4,"[1, 2, 2, 0, 0, 1, 1, 1, 2]"
     X   ,5,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
OOXXOO XX,7,"[2, 2, 1, 1, 2, 2, 0, 1, 1]"
O     X  ,8,"[2, 0, 0, 0, 0, 0, 1, 0, 0]"
OXX OXOX ,4,"[2, 1, 1, 0, 2, 1, 2, 1, 0]"
X XOXXOO ,9,"[1, 0, 1, 2, 1, 1, 2, 2, 0]"
      XO ,1,"[0, 0, 0, 0, 0, 0, 1, 2, 0]"
   X  O  ,8,"[0, 0, 0, 1, 0, 0, 2, 0, 0]"
X OXO  OX,7,"[1, 0, 2, 1, 2, 0, 0, 2, 1]"
OX OXO  X,7,"[2, 1, 0, 2, 1, 2, 0, 0, 1]"
O       X,3,"[2, 0, 0, 0, 0, 0, 0, 0, 1]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
 XO  XO X,1,"[0, 1, 2, 0, 0, 1, 2, 0, 1]"
   X  X O,5,"[0, 0, 0, 1, 0, 0, 1, 0, 2]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OOXXX OXO,6,"[2, 2, 1, 1, 1, 0, 2, 1, 2]"
XOXX    O,7,"[1, 2, 1, 1, 0, 0, 0, 0, 2]"
 XX  OXOO,4,"[0, 1, 1, 0, 0, 2, 1, 2, 2]"
 OX  XXO ,5,"[0, 2, 1, 0, 0, 1, 1, 2, 0]"
 O X X XO,5,"[0, 2, 0, 1, 0, 1, 0, 1, 2]"
O XX  OX ,6,"[2, 0, 1, 1, 0, 0, 2, 1, 0]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  OXXOXOX,1,"[0, 0, 2, 1, 1, 2, 1, 2, 1]"
    X    ,9,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
   XX OXO,2,"[0, 0, 0, 1, 1, 0, 2, 1, 2]"
    XX OO,7,"[0, 0, 0, 0, 1, 1, 0, 2, 2]"
XX XXOOO ,9,"[1, 1, 0, 1, 1, 2, 2, 2, 0]"
X X O XOO,2,"[1, 0, 1, 0, 2, 0, 1, 2, 2]"
 X  OOX  ,4,"[0, 1, 0, 0, 2, 2, 1, 0, 0]"
O XXO XOX,2,"[2, 0, 1, 1, 2, 0, 1, 2, 1]"
 X     O ,9,"[0, 1, 0, 0, 0, 0, 0, 2, 0]"
     OXOX,1,"[0, 0, 0, 0, 0, 2, 1, 2, 1]"
 X   X O ,1,"[0, 1, 0, 0, 0, 1, 0, 2, 0]"
  O  X OX,5,"[0, 0, 2, 0, 0, 1, 0, 2, 1]"
XO X OOX ,3,"[1, 2, 0, 1, 0, 2, 2, 1, 0]"
O XX    O,5,"[2, 0, 1, 1, 0, 0, 0, 0, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    X    ,9,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
  XO   XO,5,"[0, 0, 1, 2, 0, 0, 0, 1, 2]"
 O X   XO,3,"[0, 2, 0, 1, 0, 0, 0, 1, 2]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X OO X X,6,"[0, 1, 0, 2, 2, 0, 1, 0, 1]"
X X     O,7,"[1, 0, 1, 0, 0, 0, 0, 0, 2]"
O X  XOXO,5,"[2, 0, 1, 0, 0, 1, 2, 1, 2]"
OXX O  X ,7,"[2, 1, 1, 0, 2, 0, 0, 1, 0]"
XX O OXO ,3,"[1, 1, 0, 2, 0, 2, 1, 2, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
   O X XO,2,"[0, 0, 0, 2, 0, 1, 0, 1, 2]"
 X       ,8,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
XXOO XX O,8,"[1, 1, 2, 2, 0, 1, 1, 0, 2]"
  XXOO X ,1,"[0, 0, 1, 1, 2, 2, 0, 1, 0]"
OX XX O O,8,"[2, 1, 0, 1, 1, 0, 2, 0, 2]"
 X  O  OX,3,"[0, 1, 0, 0, 2, 0, 0, 2, 1]"
 OXOO  XX,6,"[0, 2, 1, 2, 2, 0, 0, 1, 1]"
XX OOXOX ,3,"[1, 1, 0, 2, 2, 1, 2, 1, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O  OX X  ,2,"[2, 0, 0, 2, 1, 0, 1, 0, 0]"
X XO   O ,7,"[1, 0, 1, 2, 0, 0, 0, 2, 0]"
O   XO  X,8,"[2, 0, 0, 0, 1, 2, 0, 0, 1]"
OOXXX   O,8,"[2, 2, 1, 1, 1, 0, 0, 0, 2]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   X XO O,5,"[0, 0, 0, 1, 0, 1, 2, 0, 2]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OXXXOO OX,7,"[2, 1, 1, 1, 2, 2, 0, 2, 1]"
  X  O  X,5,"[0, 0, 1, 0, 0, 2, 0, 0, 1]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    X O  ,3,"[0, 0, 0, 0, 1, 0, 2, 0, 0]"
X X  XO O,8,"[1, 0, 1, 0, 0, 1, 2, 0, 2]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
 O     X ,1,"[0, 2, 0, 0, 0, 0, 0, 1, 0]"
  OXXOOX ,2,"[0, 0, 2, 1, 1, 2, 2, 1, 0]"
  X    O ,9,"[0, 0, 1, 0, 0, 0, 0, 2, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X O      ,4,"[1, 0, 2, 0, 0, 0, 0, 0, 0]"
XOO     X,4,"[1, 2, 2, 0, 0, 0, 0, 0, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XO OOX X ,9,"[1, 2, 0, 2, 2, 1, 0, 1, 0]"
X       O,7,"[1, 0, 0, 0, 0, 0, 0, 0, 2]"
 X  OOXOX,4,"[0, 1, 0, 0, 2, 2, 1, 2, 1]"
 O X     ,5,"[0, 2, 0, 1, 0, 0, 0, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   XO    ,8,"[0, 0, 0, 1, 2, 0, 0, 0, 0]"
 O X X O ,5,"[0, 2, 0, 1, 0, 1, 0, 2, 0]"
  XX  O  ,5,"[0, 0, 1, 1, 0, 0, 2, 0, 0]"
OOXO  X X,5,"[2, 2, 1, 2, 0, 0, 1, 0, 1]"
 XX    O ,1,"[0, 1, 1, 0, 0, 0, 0, 2, 0]"
  OXX    ,6,"[0, 0, 2, 1, 1, 0, 0, 0, 0]"
 O OX X  ,1,"[0, 2, 0, 2, 1, 0, 1, 0, 0]"
OXO OXXX ,9,"[2, 1, 2, 0, 2, 1, 1, 1, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OOXX    X,6,"[2, 2, 1, 1, 0, 0, 0, 0, 1]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
   OX  XO,7,"[0, 0, 0, 2, 1, 0, 0, 1, 2]"
 OXO X   ,7,"[0, 2, 1, 2, 0, 1, 0, 0, 0]"
XX O OXOX,5,"[1, 1, 0, 2, 0, 2, 1, 2, 1]"
X   O   X,2,"[1, 0, 0, 0, 2, 0, 0, 0, 1]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X  O X  ,4,"[0, 1, 0, 0, 2, 0, 1, 0, 0]"
  O X X  ,1,"[0, 0, 2, 0, 1, 0, 1, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
OOX XXOXO,4,"[2, 2, 1, 0, 1, 1, 2, 1, 2]"
     X   ,3,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
       X ,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
 X       ,8,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
OO XXOXXO,3,"[2, 2, 0, 1, 1, 2, 1, 1, 2]"
 XO  X   ,5,"[0, 1, 2, 0, 0, 1, 0, 0, 0]"
O       X,3,"[2, 0, 0, 0, 0, 0, 0, 0, 1]"
X X     O,7,"[1, 0, 1, 0, 0, 0, 0, 0, 2]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
X X XOO  ,8,"[1, 0, 1, 0, 1, 2, 2, 0, 0]"
X    XO  ,9,"[1, 0, 0, 0, 0, 1, 2, 0, 0]"
 OXOX    ,1,"[0, 2, 1, 2, 1, 0, 0, 0, 0]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
  OOX XOX,1,"[0, 0, 2, 2, 1, 0, 1, 2, 1]"
O OOX X X,8,"[2, 0, 2, 2, 1, 0, 1, 0, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O OXX  XO,6,"[2, 0, 2, 1, 1, 0, 0, 1, 2]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X O   XOX,5,"[1, 0, 2, 0, 0, 0, 1, 2, 1]"
XOX XX OO,7,"[1, 2, 1, 0, 1, 1, 0, 2, 2]"
 OX    XO,7,"[0, 2, 1, 0, 0, 0, 0, 1, 2]"
 OOX  OXX,1,"[0, 2, 2, 1, 0, 0, 2, 1, 1]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 O  X    ,3,"[0, 2, 0, 0, 1, 0, 0, 0, 0]"
 OXXOXOX ,9,"[0, 2, 1, 1, 2, 1, 2, 1, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
OXX  O   ,5,"[2, 1, 1, 0, 0, 2, 0, 0, 0]"
O XX     ,5,"[2, 0, 1, 1, 0, 0, 0, 0, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  X O  OX,2,"[0, 0, 1, 0, 2, 0, 0, 2, 1]"
 X       ,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
 O  OXX  ,8,"[0, 2, 0, 0, 2, 1, 1, 0, 0]"
       X ,7,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
  X   O  ,9,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
  XXOOXXO,1,"[0, 0, 1, 1, 2, 2, 1, 1, 2]"
 O X     ,5,"[0, 2, 0, 1, 0, 0, 0, 0, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OOXX  OX ,6,"[2, 2, 1, 1, 0, 0, 2, 1, 0]"
 XO OOX X,8,"[0, 1, 2, 0, 2, 2, 1, 0, 1]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O  XXOXXO,3,"[2, 0, 0, 1, 1, 2, 1, 1, 2]"
    X  XO,2,"[0, 0, 0, 0, 1, 0, 0, 1, 2]"
        X,5,"[0, 0, 0, 0, 0, 0, 0, 0, 1]"
X XO    O,7,"[1, 0, 1, 2, 0, 0, 0, 0, 2]"
         ,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XXO  O   ,5,"[1, 1, 2, 0, 0, 2, 0, 0, 0]"
   X XOO ,9,"[0, 0, 0, 1, 0, 1, 2, 2, 0]"
   OX  X ,9,"[0, 0, 0, 2, 1, 0, 0, 1, 0]"
X   OOXX ,4,"[1, 0, 0, 0, 2, 2, 1, 1, 0]"
X OOOXX X,8,"[1, 0, 2, 2, 2, 1, 1, 0, 1]"
 XXXOOXO ,1,"[0, 1, 1, 1, 2, 2, 1, 2, 0]"
X  X XOO ,5,"[1, 0, 0, 1, 0, 1, 2, 2, 0]"
  X   O  ,1,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
 X XO    ,7,"[0, 1, 0, 1, 2, 0, 0, 0, 0]"
         ,9,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XX   X OO,7,"[1, 1, 0, 0, 0, 1, 0, 2, 2]"
 XX  O   ,5,"[0, 1, 1, 0, 0, 2, 0, 0, 0]"
X     XO ,6,"[1, 0, 0, 0, 0, 0, 1, 2, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
    X    ,9,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
    OX   ,1,"[0, 0, 0, 0, 2, 1, 0, 0, 0]"
OX     OX,7,"[2, 1, 0, 0, 0, 0, 0, 2, 1]"
 XOOX X O,8,"[0, 1, 2, 2, 1, 0, 1, 0, 2]"
OO X X  X,3,"[2, 2, 0, 1, 0, 1, 0, 0, 1]"
X     OX ,2,"[1, 0, 0, 0, 0, 0, 2, 1, 0]"
         ,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XO XXOOX ,9,"[1, 2, 0, 1, 1, 2, 2, 1, 0]"
 X  X   O,8,"[0, 1, 0, 0, 1, 0, 0, 0, 2]"
X    O  X,5,"[1, 0, 0, 0, 0, 2, 0, 0, 1]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 X       ,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
   O X   ,3,"[0, 0, 0, 2, 0, 1, 0, 0, 0]"
X  XOXO  ,2,"[1, 0, 0, 1, 2, 1, 2, 0, 0]"
  O X   X,1,"[0, 0, 2, 0, 1, 0, 0, 0, 1]"
X  XOOOXX,3,"[1, 0, 0, 1, 2, 2, 2, 1, 1]"
 X       ,5,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
XXOX    O,7,"[1, 1, 2, 1, 0, 0, 0, 0, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OX X X O ,5,"[2, 1, 0, 1, 0, 1, 0, 2, 0]"
X       O,3,"[1, 0, 0, 0, 0, 0, 0, 0, 2]"
 O X     ,5,"[0, 2, 0, 1, 0, 0, 0, 0, 0]"
   XO  XO,1,"[0, 0, 0, 1, 2, 0, 0, 1, 2]"
    X    ,1,"[0, 0, 0, 0, 1, 0, 0, 0, 0]"
  X      ,5,"[0, 0, 1, 0, 0, 0, 0, 0, 0]"
      X  ,5,"[0, 0, 0, 0, 0, 0, 1, 0, 0]"
 X OO XX ,9,"[0, 1, 0, 2, 2, 0, 1, 1, 0]"
 OOXX  X ,6,"[0, 2, 2, 1, 1, 0, 0, 1, 0]"
XO    O X,3,"[1, 2, 0, 0, 0, 0, 2, 0, 1]"
   X     ,7,"[0, 0, 0, 1, 0, 0, 0, 0, 0]"
 O XX   O,7,"[0, 2, 0, 1, 1, 0, 0, 0, 2]"
 X  XOO  ,1,"[0, 1, 0, 0, 1, 2, 2, 0, 0]"
   O   XX,7,"[0, 0, 0, 2, 0, 0, 0, 1, 1]"
OXXX XO O,5,"[2, 1, 1, 1, 0, 1, 2, 0, 2]"
O XX  OOX,6,"[2, 0, 1, 1, 0, 0, 2, 2, 1]"
 X   O X ,5,"[0, 1, 0, 0, 0, 2, 0, 1, 0]"
 O X O X ,7,"[0, 2, 0, 1, 0, 2, 0, 1, 0]"
 OOOXX  X,1,"[0, 2, 2, 2, 1, 1, 0, 0, 1]"
    XO   ,8,"[0, 0, 0, 0, 1, 2, 0, 0, 0]"
 X XO X O,1,"[0, 1, 0, 1, 2, 0, 1, 0, 2]"
X XXOOO  ,2,"[1, 0, 1, 1, 2, 2, 2, 0, 0]"
X    O   ,3,"[1, 0, 0, 0, 0, 2, 0, 0, 0]"
X        ,5,"[1, 0, 0, 0, 0, 0, 0, 0, 0]"
 X  X O  ,8,"[0, 1, 0, 0, 1, 0, 2, 0, 0]"
 XO XOO X,4,"[0, 1, 2, 0, 1, 2, 2, 0, 1]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X OXX OXO,6,"[1, 0, 2, 1, 1, 0, 2, 1, 2]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
   X  O X,5,"[0, 0, 0, 1, 0, 0, 2, 0, 1]"
 XOX   XO,5,"[0, 1, 2, 1, 0, 0, 0, 1, 2]"
 X    XO ,1,"[0, 1, 0, 0, 0, 0, 1, 2, 0]"
 OOX X  X,5,"[0, 2, 2, 1, 0, 1, 0, 0, 1]"
   OX XOX,1,"[0, 0, 0, 2, 1, 0, 1, 2, 1]"
   XOX O ,2,"[0, 0, 0, 1, 2, 1, 0, 2, 0]"
XOXOOXX O,8,"[1, 2, 1, 2, 2, 1, 1, 0, 2]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  X   O  ,1,"[0, 0, 1, 0, 0, 0, 2, 0, 0]"
X  X   O ,7,"[1, 0, 0, 1, 0, 0, 0, 2, 0]"
XO OOX X ,9,"[1, 2, 0, 2, 2, 1, 0, 1, 0]"
