board,decision,Input
O XOXO  X,7,"[2, 0, 1, 2, 1, 2, 0, 0, 1]"
   O    X,7,"[0, 0, 0, 2, 0, 0, 0, 0, 1]"
       X ,2,"[0, 0, 0, 0, 0, 0, 0, 1, 0]"
         ,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XX   O O ,5,"[1, 1, 0, 0, 0, 2, 0, 2, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
  XOXO X ,1,"[0, 0, 1, 2, 1, 2, 0, 1, 0]"
X O X  O ,6,"[1, 0, 2, 0, 1, 0, 0, 2, 0]"
   XX  O ,7,"[0, 0, 0, 1, 1, 0, 0, 2, 0]"
O X   OXX,4,"[2, 0, 1, 0, 0, 0, 2, 1, 1]"
XO X   O ,5,"[1, 2, 0, 1, 0, 0, 0, 2, 0]"
OXX OO XX,4,"[2, 1, 1, 0, 2, 2, 0, 1, 1]"
   XX O O,8,"[0, 0, 0, 1, 1, 0, 2, 0, 2]"
 XO X  O ,4,"[0, 1, 2, 0, 1, 0, 0, 2, 0]"
   X  OOX,2,"[0, 0, 0, 1, 0, 0, 2, 2, 1]"
XOOOXX   ,9,"[1, 2, 2, 2, 1, 1, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
X O  X   ,4,"[1, 0, 2, 0, 0, 1, 0, 0, 0]"
  O X  X ,2,"[0, 0, 2, 0, 1, 0, 0, 1, 0]"
 O  X    ,4,"[0, 2, 0, 0, 1, 0, 0, 0, 0]"
 X   OXOX,1,"[0, 1, 0, 0, 0, 2, 1, 2, 1]"
    OOXX ,4,"[0, 0, 0, 0, 2, 2, 1, 1, 0]"
  X OO X ,4,"[0, 0, 1, 0, 2, 2, 0, 1, 0]"
X     X O,3,"[1, 0, 0, 0, 0, 0, 1, 0, 2]"
OOXX XX O,5,"[2, 2, 1, 1, 0, 1, 1, 0, 2]"
  XXO    ,7,"[0, 0, 1, 1, 2, 0, 0, 0, 0]"
XXO OX   ,7,"[1, 1, 2, 0, 2, 1, 0, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
XX  OO   ,4,"[1, 1, 0, 0, 2, 2, 0, 0, 0]"
XOXO   OX,6,"[1, 2, 1, 2, 0, 0, 0, 2, 1]"
XXO OXXOO,4,"[1, 1, 2, 0, 2, 1, 1, 2, 2]"
O XO  X  ,9,"[2, 0, 1, 2, 0, 0, 1, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
         ,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
OX X O OX,5,"[2, 1, 0, 1, 0, 2, 0, 2, 1]"
      XO ,1,"[0, 0, 0, 0, 0, 0, 1, 2, 0]"
 OXO  X X,8,"[0, 2, 1, 2, 0, 0, 1, 0, 1]"
 O     X ,4,"[0, 2, 0, 0, 0, 0, 0, 1, 0]"
O OX  X X,2,"[2, 0, 2, 1, 0, 0, 1, 0, 1]"
 XO   XXO,5,"[0, 1, 2, 0, 0, 0, 1, 1, 2]"
     X   ,9,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
O XX O X ,5,"[2, 0, 1, 1, 0, 2, 0, 1, 0]"
XO     X ,9,"[1, 2, 0, 0, 0, 0, 0, 1, 0]"
X X  OXOO,5,"[1, 0, 1, 0, 0, 2, 1, 2, 2]"
         ,7,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XX O   O,1,"[0, 1, 1, 0, 2, 0, 0, 0, 2]"
 XXXOOX O,1,"[0, 1, 1, 1, 2, 2, 1, 0, 2]"
         ,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
 XOO O XX,5,"[0, 1, 2, 2, 0, 2, 0, 1, 1]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
O O XX   ,2,"[2, 0, 2, 0, 1, 1, 0, 0, 0]"
O XOXX   ,7,"[2, 0, 1, 2, 1, 1, 0, 0, 0]"
         ,6,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
       XO,3,"[0, 0, 0, 0, 0, 0, 0, 1, 2]"
 X       ,5,"[0, 1, 0, 0, 0, 0, 0, 0, 0]"
         ,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0]"
     O  X,7,"[0, 0, 0, 0, 0, 2, 0, 0, 1]"
XXOOXOXO ,9,"[1, 1, 2, 2, 1, 2, 1, 2, 0]"
O X   XOX,2,"[2, 0, 1, 0, 0, 0, 1, 2, 1]"
    O   X,2,"[0, 0, 0, 0, 2, 0, 0, 0, 1]"
  OO XX  ,1,"[0, 0, 2, 2, 0, 1, 1, 0, 0]"
XOXO  X O,5,"[1, 2, 1, 2, 0, 0, 1, 0, 2]"
   X   OX,5,"[0, 0, 0, 1, 0, 0, 0, 2, 1]"
OXOXOOX X,8,"[2, 1, 2, 1, 2, 2, 1, 0, 1]"
  X OO X ,4,"[0, 0, 1, 0, 2, 2, 0, 1, 0]"
X OX XOOX,5,"[1, 0, 2, 1, 0, 1, 2, 2, 1]"
    XO   ,8,"[0, 0, 0, 0, 1, 2, 0, 0, 0]"
O X  X  O,5,"[2, 0, 1, 0, 0, 1, 0, 0, 2]"
      OX ,4,"[0, 0, 0, 0, 0, 0, 2, 1, 0]"
X O XOOX ,2,"[1, 0, 2, 0, 1, 2, 2, 1, 0]"
 OOXX    ,1,"[0, 2, 2, 1, 1, 0, 0, 0, 0]"
     X   ,9,"[0, 0, 0, 0, 0, 1, 0, 0, 0]"
